urlLength,hostnameLength,pathLength,dotCount,dashCount,atCount,questionCount,digitCount,digitRatio,hasIpAddress,hasSensitiveWords,hasDoubleSlashRedirect,hasHttpsTokenInDomain,nanEntropy,nanRelativeEntropy,status
60.0,22.0,31.0,1.0,2.0,0.0,0.0,5.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.4182958340544896,0.3871443985358109,1
64.0,20.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516441151533924,0.35784811843708364,0
145.0,25.0,113.0,4.0,1.0,0.0,0.0,15.0,0.10344827586206896,0.0,0.0,0.0,0.0,1.6113834567195195,0.22777695800848136,1
64.0,17.0,40.0,2.0,0.0,0.0,0.0,22.0,0.34375,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
18.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
32.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
130.0,31.0,82.0,2.0,2.0,0.0,1.0,10.0,0.07692307692307693,0.0,0.0,0.0,0.0,2.5016094970590275,0.5004643853441971,1
84.0,17.0,60.0,3.0,1.0,0.0,0.0,3.0,0.03571428571428571,0.0,0.0,0.0,0.0,2.146465798504072,0.3455962540287928,0
271.0,20.0,78.0,5.0,0.0,0.0,1.0,84.0,0.30996309963099633,0.0,1.0,0.0,0.0,2.500503832755768,0.634284842941277,1
29.0,20.0,1.0,2.0,0.0,0.0,0.0,3.0,0.10344827586206896,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
73.0,17.0,49.0,1.0,3.0,0.0,0.0,7.0,0.0958904109589041,0.0,0.0,0.0,0.0,1.6854752972273346,0.4480693040111994,0
26.0,18.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
42.0,34.0,1.0,2.0,2.0,0.0,0.0,6.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.9056390622295665,0.2927316889661975,1
60.0,16.0,25.0,2.0,0.0,0.0,1.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.0,1.9609640474436814,0.49987379066514287,1
126.0,50.0,20.0,4.0,1.0,0.0,1.0,14.0,0.1111111111111111,0.0,1.0,0.0,0.0,2.7550576199383077,0.6082479137786792,1
29.0,20.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
140.0,13.0,120.0,1.0,6.0,0.0,0.0,1.0,0.007142857142857143,0.0,1.0,0.0,0.0,1.6437519544205021,0.5338683929265123,1
21.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
18.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
41.0,16.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2987949406953985,0.37348134674036887,1
32.0,24.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
25.0,18.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
58.0,40.0,11.0,5.0,0.0,0.0,0.0,2.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.360964047443681,0.4573121916664634,1
46.0,23.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.836591668108979,0.2527498126060475,0
49.0,16.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9056390622295665,0.2927316889661975,0
81.0,20.0,54.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3520301017579528,0.3070564166167984,1
86.0,17.0,62.0,3.0,0.0,0.0,0.0,22.0,0.2558139534883721,0.0,0.0,0.0,0.0,1.295461844238322,0.3647918976800194,1
42.0,33.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726526,0.4321001303134834,0
62.0,10.0,45.0,1.0,0.0,0.0,0.0,22.0,0.3548387096774194,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
56.0,37.0,12.0,4.0,3.0,0.0,0.0,5.0,0.08928571428571429,0.0,0.0,0.0,0.0,1.867633890971212,0.39808345331347117,1
25.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
35.0,27.0,29.0,2.0,0.0,0.0,0.0,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
16.0,9.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
28.0,19.0,1.0,2.0,0.0,0.0,0.0,4.0,0.14285714285714285,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
65.0,12.0,45.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2916919971380594,0.4297006760635022,1
24.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
41.0,16.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3516441151533924,0.35784811843708364,1
97.0,11.0,28.0,3.0,1.0,1.0,1.0,5.0,0.05154639175257732,0.0,0.0,0.0,0.0,2.93299930663729,0.5817780523640971,1
23.0,14.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4488156357251847,0.4013580026428195,0
30.0,15.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3787834934861753,0.3585169326019688,1
115.0,26.0,82.0,3.0,2.0,0.0,0.0,3.0,0.02608695652173913,0.0,0.0,0.0,0.0,2.6232196723355075,1.9769920017168277,0
34.0,25.0,1.0,2.0,0.0,0.0,0.0,3.0,0.08823529411764706,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
71.0,22.0,41.0,3.0,0.0,0.0,0.0,4.0,0.056338028169014086,0.0,0.0,0.0,0.0,1.6171895725927152,0.3421194216614895,0
101.0,28.0,66.0,3.0,0.0,0.0,0.0,12.0,0.1188118811881188,0.0,1.0,0.0,0.0,1.7884504573082893,1.940748817997354,1
50.0,16.0,27.0,3.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,1.4056390622295665,0.36540128595107807,1
33.0,15.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,0
126.0,50.0,19.0,4.0,1.0,0.0,1.0,25.0,0.1984126984126984,0.0,1.0,0.0,0.0,2.794653473544342,0.6878852944419702,1
16.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
152.0,13.0,131.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1160762796829877,1.8598352243143266,0
46.0,15.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726526,0.4321001303134834,0
58.0,17.0,34.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7527152789797045,0.48265568718876284,0
38.0,31.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,0
67.0,14.0,46.0,1.0,0.0,0.0,0.0,27.0,0.40298507462686567,0.0,0.0,0.0,0.0,0.9864267287308424,0.5474849524242964,1
21.0,13.0,1.0,2.0,0.0,0.0,0.0,5.0,0.23809523809523808,0.0,0.0,0.0,0.0,1.5566567074628228,0.4750904032846187,0
125.0,50.0,19.0,4.0,1.0,0.0,1.0,18.0,0.144,0.0,1.0,0.0,0.0,2.794653473544342,0.6878852944419702,1
75.0,10.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.295461844238322,0.3647918976800194,0
37.0,17.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1488348542809166,0.47559235952736834,1
35.0,26.0,1.0,2.0,0.0,0.0,0.0,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
83.0,14.0,61.0,2.0,10.0,0.0,0.0,4.0,0.04819277108433735,0.0,0.0,0.0,0.0,1.5779772001172403,0.9383475017483602,0
99.0,15.0,76.0,2.0,0.0,0.0,0.0,9.0,0.09090909090909091,0.0,0.0,0.0,0.0,1.4911148500551854,0.39636573638456296,1
62.0,24.0,31.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8910611120726528,0.2860706448600423,0
53.0,45.0,1.0,5.0,2.0,0.0,0.0,5.0,0.09433962264150944,0.0,0.0,0.0,0.0,1.789929075309999,0.35630959905823245,1
31.0,18.0,6.0,2.0,0.0,0.0,0.0,6.0,0.1935483870967742,0.0,0.0,0.0,0.0,1.4591479170272446,0.36485136059740236,1
64.0,14.0,43.0,3.0,0.0,0.0,0.0,6.0,0.09375,0.0,0.0,0.0,0.0,1.295461844238322,0.3647918976800194,0
34.0,27.0,29.0,2.0,0.0,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
45.0,38.0,40.0,2.0,0.0,0.0,0.0,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,1.5219280948873621,0.42344957488838875,1
19.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3709505944546687,0.416404578129279,0
